"","CameraSite","InfringementNo","Quarter"
"1","At The Intersection Of King Street And La Trobe Street, West Melbourne Lane - 1, 2, 3, 4",8570,"1"
"2","At The Intersection Of Warrigal Road And Batesford Road, Chadstone - Lane 1, 2, 3",7422,"1"
"3","At The Intersection Of Fitzroy Street And Lakeside Drive, St Kilda - Lane 1, 2, 3",7053,"1"
"4","At The Intersection Of King Street And La Trobe Street, West Melbourne Lane - 1, 2, 3, 4",8158,"2"
"5","At The Intersection Of Warrigal Road And Batesford Road, Chadstone - Lane 1, 2, 3",5583,"2"
"6","At The Intersection Of Fitzroy Street And Lakeside Drive, St Kilda - Lane 1, 2, 3",5385,"2"
"7","At The Intersection Of Warrigal Road And Batesford Road, Chadstone - Lane 1, 2, 3",3798,"3"
"8","At The Intersection Of Fitzroy Street And Lakeside Drive, St Kilda - Lane 1, 2, 3",3544,"3"
"9","At The Intersection Of Punt Road And High Street, Prahran (Northbound) - Lane 1,2,3",3490,"3"
"10","At The Intersection Of Rosanna Road and Darebin Street, Heidelberg(N) - Lane 1, 2, 3",25036,"4"
"11","At The Intersection Of Warrigal Road And Batesford Road, Chadstone - Lane 1, 2, 3",6811,"4"
"12","At The Intersection Of Terminal Drive And Centre Road, Melbourne Airport - Lane 2, 3, 4, 5",6148,"4"
